Player,Season,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
ADD,S6,KR,TOP,45,46.7%,2.6,2.1,3,5.6,6.8,360,67.3%,21.4,439,-,0.57,0.16,0.13,-250,-9,-398,26.7%,13.3%,0,11
Crazy,S6,KR,TOP,53,45.3%,3.5,1.5,1.7,4.6,7.5,363,57.3%,21.4,389,-,0.55,0.14,0.1,-144,-0,-224,20.8%,15.1%,0,6
CuVee,S6,KR,TOP,94,55.3%,2.7,2.1,2.5,4.6,7.8,379,58.1%,20.2,403,-,0.56,0.15,0.11,-11,-1,-101,19.1%,7.4%,0,21
Duke,S6,KR,TOP,98,66.3%,4.1,2.5,2,5.6,8.2,399,65.4%,19.4,425,-,0.45,0.12,0.06,191,8,381,15.3%,13.3%,0,26
Expession,S6,,TOP,67,43.3%,3.2,1.8,1.9,4.4,7.8,374,61.5%,21.3,426,-,0.48,0.14,0.07,160,4,261,22.4%,13.4%,0,8
Firetrap,S6,,TOP,5,20%,3.6,1.6,1.6,4.2,8.3,370,70.3%,14.4,244,-,0.52,0.13,0.05,92,6,137,60%,0%,0,-
Flame,S6,KR,TOP,17,47.1%,3.3,2.5,2.2,4.6,7.8,389,60.2%,19.6,377,-,0.57,0.15,0.13,187,4,76,5.9%,17.6%,0,6
Helper,S6,CN,TOP,4,50%,2.7,1.8,2.8,5.8,7.2,361,61.5%,22.6,499,-,0.5,0.1,0.1,-119,-4,28,50%,0%,0,-
Hipo,S6,,TOP,40,20%,1.4,1,3.5,3.9,6.9,332,59.5%,17.4,304,-,0.55,0.15,0.1,-333,-10,-404,20%,15%,0,7
Ikssu,S6,KR,TOP,90,50%,2.8,2,2.8,5.8,7.1,361,68%,20.7,405,-,0.5,0.14,0.09,-40,-3,-79,26.7%,17.8%,0,13
Lindarang,S6,KR,TOP,12,25%,2.9,1.9,2.4,5.2,7.6,361,72.3%,21.3,405,-,0.55,0.09,0.12,-67,-4,58,33.3%,16.7%,0,3
Roach,S6,KR,TOP,13,46.2%,2.3,1.4,2.5,4.5,7.9,382,71.5%,19.9,376,-,0.55,0.13,0.1,-400,-17,-449,30.8%,15.4%,0,3
Shy,S6,KR,TOP,23,39.1%,2.6,1.2,2,4,8,372,49.5%,19.2,356,-,0.47,0.1,0.06,-164,0,-142,4.3%,17.4%,0,2
Smeb,S6,KR,TOP,90,75.6%,4.7,3.3,2.2,6.9,7.8,410,68.9%,22.9,500,-,0.49,0.13,0.07,313,7,233,36.7%,18.9%,0,25
SoHwan,S6,KR,TOP,2,0%,0.3,0,3,1,7.1,304,29.2%,12.8,177,-,0.53,0.08,0.1,-1391,-35,-1991,0%,50%,0,-
SoaR,S6,KR,TOP,10,20%,2.1,1.1,3,5.2,7.4,350,57.5%,16.9,309,-,0.49,0.17,0.07,-5,2,-58,20%,20%,0,-
