Team,Season,Player
Afreeca Freecs,S6,Ikssu
Afreeca Freecs,S6,Lira
Afreeca Freecs,S6,Mickey
Afreeca Freecs,S6,Sangyoon
Afreeca Freecs,S6,SnowFlower
Afreeca Freecs,S6,Lindarang
Afreeca Freecs,S6,SeongHwan
CJ Entus,S6,Shy
CJ Entus,S6,Haru
CJ Entus,S6,Bdd
CJ Entus,S6,Kramer
CJ Entus,S6,MadLife
CJ Entus,S6,Untara
CJ Entus,S6,Bubbling
CJ Entus,S6,Sky
CJ Entus,S6,Ghost
ESC Ever,S6,Crazy
ESC Ever,S6,Bless
ESC Ever,S6,Tempt
ESC Ever,S6,LokeN
ESC Ever,S6,Totoro
ESC Ever,S6,Firetrap
ESC Ever,S6,Ares
ESC Ever,S6,Athena
ESC Ever,S6,KeY
Jin Air Green Wings,S6,TrAce
Jin Air Green Wings,S6,Winged
Jin Air Green Wings,S6,Kuzan
Jin Air Green Wings,S6,Pilot
Jin Air Green Wings,S6,Chei
Jin Air Green Wings,S6,SoHwan
Jin Air Green Wings,S6,Blanc
Jin Air Green Wings,S6,Sweet
Kongdoo Monster,S6,Roach
Kongdoo Monster,S6,Punch
Kongdoo Monster,S6,Edge
Kongdoo Monster,S6,Ssol
Kongdoo Monster,S6,GuGer
Kongdoo Monster,S6,Hipo
Kongdoo Monster,S6,Crush
KT Rolster,S6,ssumday
KT Rolster,S6,Score
KT Rolster,S6,Fly
KT Rolster,S6,Arrow
KT Rolster,S6,Comeback
KT Rolster,S6,IgNar
Longzhu Gaming,S6,Expession
Longzhu Gaming,S6,Crash
Longzhu Gaming,S6,Frozen
Longzhu Gaming,S6,Fury
Longzhu Gaming,S6,Pure
Longzhu Gaming,S6,Flame
Longzhu Gaming,S6,Chaser
Longzhu Gaming,S6,CoCo
Longzhu Gaming,S6,Cpt Jack
Longzhu Gaming,S6,Emperor
Longzhu Gaming,S6,Zzus
MVP,S6,ADD
MVP,S6,Beyond
MVP,S6,Ian
MVP,S6,MaHa
MVP,S6,Max
ROX Tigers,S6,Smeb
ROX Tigers,S6,Peanut
ROX Tigers,S6,kurO
ROX Tigers,S6,PraY
ROX Tigers,S6,GorillA
ROX Tigers,S6,Cry
Samsung Galaxy,S6,CuVee
Samsung Galaxy,S6,Ambition
Samsung Galaxy,S6,Crown
Samsung Galaxy,S6,Ruler
Samsung Galaxy,S6,CoreJJ
Samsung Galaxy,S6,Helper
Samsung Galaxy,S6,CoreJJ
Samsung Galaxy,S6,Stitch
Samsung Galaxy,S6,Wraith
SBENU Sonicboom,S6,Soul
SBENU Sonicboom,S6,Flawless
SBENU Sonicboom,S6,SaSin
SBENU Sonicboom,S6,Nuclear
SBENU Sonicboom,S6,Lehends
SBENU Sonicboom,S6,SoaR
SBENU Sonicboom,S6,Secret
SK Telecom T1,S6,Duke
SK Telecom T1,S6,bengi
SK Telecom T1,S6,Faker
SK Telecom T1,S6,Bang
SK Telecom T1,S6,Wolf
SK Telecom T1,S6,blank
SK Telecom T1,S6,Scout
Afreeca Freecs,S7,MaRin
Afreeca Freecs,S7,Spirit
Afreeca Freecs,S7,kurO
Afreeca Freecs,S7,Kramer
Afreeca Freecs,S7,TusiN
Afreeca Freecs,S7,Mowgli
bbq Olivers,S7,Crazy
bbq Olivers,S7,bono
bbq Olivers,S7,Tempt
bbq Olivers,S7,Ghost
bbq Olivers,S7,Totoro
bbq Olivers,S7,Part
bbq Olivers,S7,Bless
CJ Entus,S7,Soul
CJ Entus,S7,Winged
CJ Entus,S7,Candy
CJ Entus,S7,Veritas
CJ Entus,S7,Pure
