Team,Season,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HER%,DRA@15,TD@15,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Afreeca Freecs,S8,106,0.613,1.26,1855,104,2220,9.6,7.6,6.9,4.9,0.547,0.528,2.04,0.535,0.56,0.49,0.1,355,1.02,0.595,36.9,1685,4.7,1.54,2.04
bbq Olivers,S8,92,0.293,0.81,1706,-165,2248,7.7,9.5,4.5,7.8,0.435,0.37,1.38,0.332,0.558,0.3,-0.3,-544,0.74,0.369,35.0,1563,4.2,1.39,1.66
DAMWON Gaming,S8,6,0.833,1.49,1866,178,2251,14.7,9.8,7.8,3.8,0.333,0.333,2.0,0.464,0.2,0.83,-0.2,-493,0.67,0.583,34.6,1954,3.5,1.49,1.65
Ever8 Winners,S8,6,0.333,0.67,1640,-259,2355,7.5,11.2,3.3,8.7,0.5,0.167,1.33,0.364,1.0,0.5,-0.5,-2183,0.5,0.222,35.2,1388,4.4,1.54,1.55
Gen.G eSports,S8,59,0.627,1.07,1805,94,2080,8.8,8.2,6.7,4.7,0.441,0.559,2.37,0.651,0.5,0.73,0.2,693,0.69,0.576,35.6,1668,3.4,1.49,1.67
Griffin,S8,62,0.645,1.61,1835,123,2162,11.1,6.8,6.5,5.0,0.468,0.516,1.73,0.454,0.446,0.45,-0.1,-35,0.82,0.641,36.3,1738,3.5,1.35,1.71
Hanwha Life eSports,S8,46,0.543,1.0,1781,30,2036,9.3,9.3,6.8,5.2,0.565,0.674,1.85,0.518,0.614,0.63,0.3,-75,0.76,0.617,34.3,1667,3.7,1.41,1.58
Jin Air Green Wings,S8,89,0.371,0.9,1744,-91,2308,8.3,9.3,5.2,7.1,0.506,0.461,1.8,0.423,0.463,0.57,-0.1,-347,0.62,0.385,36.2,1704,4.2,1.3,1.84
Kingzone DragonX,S8,94,0.691,1.36,1895,192,2115,11.0,8.1,7.5,3.9,0.574,0.649,2.39,0.664,0.541,0.72,0.3,734,0.91,0.691,37.1,1830,4.3,1.32,1.86
Kongdoo Monster,S8,51,0.255,0.65,1689,-246,2248,7.3,11.2,3.9,8.0,0.333,0.412,1.24,0.315,0.216,0.39,0.0,-696,0.63,0.286,35.1,1629,4.5,1.4,1.74
KSV eSports,S8,47,0.489,0.73,1787,-76,2286,7.6,10.4,5.3,6.9,0.426,0.447,1.91,0.53,0.444,0.57,-0.1,-414,0.6,0.369,37.3,1823,4.5,1.48,2.26
KT Rolster,S8,99,0.646,1.2,1847,105,2179,10.0,8.4,7.2,4.9,0.636,0.606,2.1,0.593,0.547,0.64,0.4,769,0.83,0.614,36.6,1852,4.3,1.43,1.85
MVP,S8,101,0.317,0.71,1723,-149,2147,7.4,10.5,4.1,7.5,0.475,0.406,1.72,0.419,0.432,0.63,-0.4,-320,0.55,0.326,35.2,1754,3.8,1.2,1.67
ROX Tigers,S8,45,0.489,0.91,1816,-7,2238,9.2,10.1,6.4,5.9,0.578,0.667,1.8,0.485,0.667,0.51,0.2,185,0.82,0.508,36.0,1825,4.7,1.13,1.86
SK Telecom T1,S8,102,0.471,0.98,1802,4,2210,9.1,9.3,5.9,6.0,0.431,0.363,2.12,0.534,0.465,0.69,-0.2,-449,0.75,0.491,36.2,1806,4.3,1.37,1.81
Team Battlecomics,S8,9,0.667,0.94,1847,81,2155,10.9,11.4,7.3,4.8,0.667,0.667,2.89,0.67,0.5,0.89,0.4,423,1.0,0.667,36.1,1712,3.7,1.46,1.75
Afreeca Freecs,S9,96,0.438,0.81,1748,-80,2050,10.7,13.2,5.3,6.3,0.479,0.542,2.25,0.49,0.543,0.9,0.3,126,0.68,0.448,32.8,1642,3.9,1.54,1.73
APK Prince,S9,7,0.714,1.33,1764,119,2113,12.6,9.4,6.9,5.1,0.714,0.571,2.57,0.538,0.714,0.86,-0.3,424,0.71,0.75,31.4,1699,4.3,1.43,2.08
DAMWON Gaming,S9,100,0.58,1.11,1866,93,2000,12.3,11.0,6.5,5.0,0.35,0.5,2.56,0.606,0.526,0.97,0.0,-36,0.76,0.595,35.0,1812,3.9,1.46,1.82
ES Sharks,S9,11,0.364,0.83,1757,-57,2192,10.5,12.5,5.2,7.2,0.455,0.273,2.27,0.44,0.545,0.45,-0.2,-1023,0.45,0.367,34.0,1782,3.4,1.22,1.66
Gen.G eSports,S9,88,0.455,0.95,1760,-37,2061,8.9,9.4,5.1,6.5,0.545,0.295,1.88,0.427,0.291,0.56,-0.3,-303,0.59,0.466,34.0,1532,4.0,1.45,1.87
Griffin,S9,88,0.693,1.78,1918,210,1962,12.2,6.9,7.2,3.7,0.67,0.716,2.33,0.577,0.54,0.72,0.4,1770,0.72,0.673,37.0,1687,3.8,1.38,1.83
Hanwha Life eSports,S9,93,0.452,0.93,1736,-61,2003,9.7,10.5,5.2,6.3,0.484,0.495,1.88,0.42,0.533,0.71,-0.1,-268,0.65,0.463,32.9,1559,3.9,1.53,1.78
Jin Air Green Wings,S9,96,0.156,0.61,1648,-261,2063,7.8,12.6,3.0,8.5,0.438,0.417,1.36,0.286,0.448,0.55,-0.3,-1180,0.32,0.237,32.4,1491,4.1,1.65,1.67
Kingzone DragonX,S9,104,0.587,1.14,1829,59,2011,12.2,10.7,6.3,5.4,0.529,0.567,2.32,0.543,0.569,0.81,0.1,55,0.72,0.561,33.7,1754,4.2,1.61,1.82
KT Rolster,S9,91,0.374,0.83,1738,-90,2066,10.3,12.3,5.2,6.7,0.495,0.385,1.9,0.418,0.444,0.6,-0.1,-350,0.59,0.43,33.1,1583,3.8,1.38,1.72
Sandbox Gaming,S9,99,0.576,0.92,1816,38,2038,10.5,11.4,6.6,4.8,0.455,0.616,2.69,0.604,0.515,0.91,0.1,175,0.78,0.569,34.6,1731,3.9,1.48,1.94
SK Telecom T1,S9,106,0.698,1.44,1869,133,2070,12.1,8.3,7.3,4.4,0.575,0.481,2.82,0.615,0.538,0.89,0.0,297,0.75,0.592,35.4,1774,4.4,1.54,1.79
Team Dynamics,S9,6,0.167,0.69,1631,-155,2148,9.8,14.2,3.2,7.2,0.5,0.167,2.33,0.483,0.333,1.0,-0.5,-2012,0.33,0.375,30.3,1701,3.7,1.18,1.59
VSG,S9,7,0.286,0.6,1671,-185,1966,8.1,13.6,3.9,7.7,0.286,0.571,1.57,0.352,0.714,0.86,0.0,-214,0.14,0.167,33.0,1517,3.5,1.27,1.63
Afreeca Freecs,S10,100,0.46,0.86,1704,-70,2020,11.2,13.0,5.1,6.2,0.53,0.41,2.2,0.455,0.444,0.8,-0.2,-600,0.54,0.458,32.1,1784,3.5,1.42,1.85
DAMWON Gaming,S10,93,0.677,1.38,1869,187,1881,13.6,9.9,7.6,3.9,0.538,0.677,2.51,0.563,0.683,0.91,0.6,1341,0.71,0.624,34.1,1972,3.6,1.37,1.72
DragonX,S10,108,0.648,1.22,1837,135,1956,12.9,10.5,6.7,4.6,0.407,0.509,2.49,0.553,0.467,0.9,0.0,998,0.71,0.616,34.7,2009,3.6,1.4,1.81
ESC Shane,S10,8,0.25,0.52,1584,-234,1816,7.3,14.0,2.8,7.4,0.25,0.125,2.38,0.513,0.563,1.5,-1.1,-2126,0.5,0.286,30.6,1567,3.0,1.23,1.38
Gen.G eSports,S10,101,0.693,1.56,1838,164,1936,14.1,9.0,7.4,4.1,0.653,0.624,2.97,0.655,0.611,1.17,0.3,1162,0.71,0.667,33.6,1896,3.8,1.5,1.81
Griffin,S10,50,0.34,0.81,1630,-138,2043,8.7,10.7,3.8,7.3,0.54,0.34,1.66,0.34,0.34,0.74,-0.4,-761,0.28,0.25,32.0,1527,3.9,1.61,1.68
Hanwha Life eSports,S10,87,0.287,0.66,1653,-193,1929,9.3,14.1,3.8,7.5,0.448,0.402,1.98,0.4,0.443,0.95,-0.3,-1121,0.36,0.331,31.8,1688,3.8,1.7,1.6
