Aiming,Bull,Deft,Envyy,Gumayusi,Hena,Jiwoo,Peyz,Samver,Taeyoon,Teddy,Viper
KR,KR,KR,KR,KR,KR,KR,KR,KR,KR,KR,KR
ADC,ADC,ADC,ADC,ADC,ADC,ADC,ADC,ADC,ADC,ADC,ADC
42,39,44,35,40,43,44,39,6,4,43,41
50%,46.2%,59.1%,22.9%,80%,37.2%,31.8%,87.2%,0%,0%,25.6%,73.2%
4.9,3.1,4.6,2.2,5.7,3.5,2.8,7.8,2.4,0.7,2.7,7.9
3.9,3.7,4.4,3.4,4.3,3.7,3.8,5.2,3.5,2,2.9,4.7
1.7,2.9,2.2,2.9,1.9,2.5,2.4,1.4,2.3,5,2.3,1.3
4.6,5.2,5.9,3.2,6.5,4.9,3,5.8,2.2,1.5,3.3,5.9
9.7,8.1,8.4,9.1,8.1,8.9,9.3,9.1,8.2,8.8,8.9,9.2
455,399,434,400,452,413,422,465,388,377,403,441
67.2%,73.2%,70.5%,65.1%,65.6%,73%,67.2%,72.4%,81.3%,42.4%,71.7%,71.7%
28.2,23.4,29.4,29.3,25.5,28.8,31,28.4,28.3,27.9,32.2,30.2
617,541,687,639,656,636,673,687,527,609,685,705
1.85,1.44,1.72,1.34,1.99,1.67,1.52,1.85,1.45,1.14,1.53,1.95
0.63,0.66,0.71,0.53,0.77,0.69,0.54,0.7,0.55,0.41,0.6,0.74
0.58,0.35,0.4,0.39,0.51,0.42,0.48,0.52,0.35,0.45,0.41,0.52
0.1,0.22,0.16,0.19,0.19,0.18,0.13,0.14,0.18,0.13,0.12,0.17
331,-329,61,-462,220,-106,-70,226,-20,-308,-32,125
-0,-4,-3,5,-11,3,1,3,35,8,2,-1
182,-127,-120,-56,-74,92,40,203,446,-111,-106,-92
38.1%,23.1%,27.3%,14.3%,22.5%,39.5%,18.2%,28.2%,33.3%,0%,20.9%,22%
0%,10.3%,15.9%,17.1%,15%,2.3%,4.5%,10.3%,0%,25%,9.3%,9.8%
1,0,1,0,0,0,0,1,0,0,0,0
2,2,2,1,2,3,2,2,1,-,4,2
