Player,G,W,L,WR,K,D,A,KDA,CS,CS/M,G/M,DMG,DMG/M,KPAR,KS,GS,CP,Champs
Aiming,15.8,21,21,50%,3.9,1.74,4.62,4.9,341.19,9.86,456,21.8k,629.3,70.3%,32.2%,25%,12,
Kellin,8.8,21,21,50%,0.67,2.26,8.36,3.99,55.07,1.59,255,6.5k,188.5,74.5%,5.5%,14%,14,
Kingen,13.8,21,21,50%,2.57,2.21,4.05,2.99,297.05,8.59,400,18k,520.1,54.6%,21.2%,22%,12,
Lucid,10.8,21,21,50%,1.52,2.33,7.12,3.7,182.02,5.26,312,7.6k,220,71.3%,12.6%,17.1%,9,
ShowMaker,13.8,21,21,50%,3.45,2.17,5.17,3.98,291.69,8.43,399,21.4k,619.1,71.1%,28.5%,21.9%,15,
Pleata,8.1,11,32,25.6%,0.51,2.37,5.33,2.46,61.21,1.87,245,6.1k,185,71.1%,6.2%,14.4%,15,
Sponge,9.9,11,32,25.6%,1.35,3.44,4.67,1.75,175.23,5.34,302,8.8k,267.6,73.4%,16.4%,17.7%,9,
Teddy,13.2,11,32,25.6%,2.88,2.28,3.26,2.69,288.12,8.78,403,23.5k,715.9,74.8%,35.1%,23.6%,13,
Rascal,12.2,11,30,26.8%,1.63,2.71,2.9,1.68,274.15,8.3,370,13.8k,419,54.5%,19.6%,21.7%,12,
SeTab,12.8,5,20,20%,1.96,2.8,2.68,1.66,292.76,8.94,391,17.3k,527.6,64.1%,27.1%,23.4%,10,
kyeahoo,12.4,6,12,33.3%,1.72,2.22,5.11,3.08,280.78,8.54,376,17.5k,533.3,71.5%,18%,21.5%,6,
Frog,10.5,0,2,0%,1,4,1,0.5,238.5,8.42,370,12.7k,449.7,33.3%,16.7%,22.3%,2,
Clear,13.1,16,27,37.2%,2.47,2.44,4.28,2.76,280.02,8.46,395,15.9k,479.3,58.9%,21.5%,21.9%,12,
Clozer,13.6,16,27,37.2%,2.37,2.51,5.05,2.95,320.49,9.69,411,18.4k,557.5,64.8%,20.7%,22.8%,13,
Execute,8.1,16,27,37.2%,0.53,3.53,7.77,2.35,42.26,1.28,244,5.8k,176.7,72.6%,4.7%,13.5%,13,
Hena,13.8,16,27,37.2%,3.67,2.47,4.88,3.47,295.07,8.92,417,21.8k,658.3,74.8%,32.1%,23.1%,11,
Willer,11.1,16,27,37.2%,2.4,2.4,5.84,3.44,202.28,6.11,335,10.5k,316,72%,20.9%,18.6%,15,
Canyon,10.7,34,5,87.2%,1.72,1.62,9.1,6.7,175,5.66,345,9.3k,299.4,70.8%,11.2%,17.4%,10,
Chovy,14.8,34,5,87.2%,4.54,1.62,5.77,6.38,311.28,10.06,478,22.6k,729.5,67.4%,29.7%,24.2%,16,
Kiin,12.7,34,5,87.2%,3.1,1.74,5.15,4.74,257.69,8.33,410,16.2k,523.5,54%,20.3%,20.7%,14,
Lehends,8.7,34,5,87.2%,0.74,1.82,9.79,5.79,58.23,1.88,281,5.6k,180.8,69%,4.9%,14.2%,11,
Peyz,14.4,34,5,87.2%,5.18,1.41,5.85,7.82,283.21,9.16,465,21.5k,694,72.1%,33.9%,23.5%,7,
Delight,8.5,30,11,73.2%,0.66,1.63,10.51,6.84,55.37,1.77,272,5.2k,167,77.6%,4.6%,14.4%,13,
Doran,12.5,30,11,73.2%,2.54,2.56,5.66,3.2,261,8.33,400,17.2k,550.2,56.9%,17.6%,21.2%,12,
Peanut,10.4,30,11,73.2%,1.95,1.8,8.37,5.72,179.32,5.73,333,8.3k,265,71.7%,13.6%,17.6%,10,
Viper,13.7,30,11,73.2%,4.73,1.34,5.9,7.93,288.29,9.21,439,22.4k,715,73.9%,32.9%,23.2%,10,
Zeka,13.9,30,11,73.2%,4.51,1.61,5.61,6.29,296.07,9.45,445,19.6k,625.3,70.3%,31.4%,23.6%,8,
Bdd,13.9,26,18,59.1%,3.41,2.25,7.25,4.74,298.45,8.82,411,21k,620.7,75.5%,24.2%,22.3%,10,
BeryL,9.5,26,18,59.1%,1.27,2.95,9.43,3.62,81.2,2.4,281,7.7k,226.8,75.8%,9%,15.2%,16,
Deft,14.7,26,18,59.1%,4.43,2.23,5.86,4.62,284.09,8.4,434,23.9k,706,72.9%,31.4%,23.6%,15,
PerfecT,12.9,26,18,59.1%,2.32,2.43,5.14,3.07,270.27,7.99,381,16k,471.5,52.8%,16.4%,20.6%,10,
Pyosik,11.4,26,18,59.1%,2.68,2.52,7.09,3.87,193.59,5.72,337,10.5k,308.9,69.2%,19%,18.3%,13,
BuLLDoG,13.8,18,25,41.9%,3.07,2.35,5.23,3.53,304.58,9.05,411,23.6k,699.7,70.7%,26.1%,22.8%,11,
Cuzz,11.2,18,25,41.9%,2.05,3.28,6.6,2.64,203.81,6.05,333,10k,297.8,73.7%,17.4%,18.5%,12,
DuDu,13.6,18,25,41.9%,2.51,2.63,4.65,2.73,302.28,8.98,404,17k,504.3,61%,21.4%,22.4%,8,
Bull,13.6,18,21,46.2%,3.72,2.9,5.23,3.09,272.64,8.01,401,18.6k,546.4,73.2%,30.4%,22.1%,15,
Andil,8.7,14,22,38.9%,0.61,3.97,8.19,2.22,58.56,1.73,257,8k,236.5,74.8%,5.2%,14.3%,16,
Quantum,8.4,4,3,57.1%,0.29,3.29,8.86,2.78,41.57,1.25,253,9.7k,291.1,79%,2.5%,13.8%,6,
Taeyoon,11.4,0,4,0%,2,5,1.5,0.7,265.5,8.83,380,18.7k,621,50%,28.6%,22.2%,3,
DnDn,12.7,14,30,31.8%,1.55,2.75,3.02,1.66,284.68,8.64,384,14.5k,439.9,46.9%,15.9%,21.8%,10,
Jiwoo,14.2,14,30,31.8%,3.8,2.43,3,2.79,310.11,9.41,430,23.4k,709.3,69.7%,38.9%,24.4%,11,
Peter,8.1,14,30,31.8%,0.52,2.32,7.02,3.25,46.59,1.41,246,4.9k,148,77.4%,5.4%,13.9%,11,
Sylvie,10.1,14,30,31.8%,1.55,3,5.48,2.34,175.39,5.32,307,8.7k,263.9,72%,15.9%,17.5%,12,
Callme,13.1,12,23,34.3%,2.23,3.34,4.83,2.11,294.43,8.93,397,20.8k,631.9,73.1%,23.1%,22.6%,9,
