Clear,DnDn,Doran,DuDu,Frog,Kiin,Morgan,PerfecT,Rascal,Zeus,kingen
KR,KR,KR,KR,KR,KR,KR,KR,KR,KR,KR
TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP,TOP
43,44,41,43,2,39,41,44,41,40,42
37.2%,31.8%,73.2%,41.9%,0%,87.2%,19.5%,59.1%,26.8%,80%,50%
2.8,1.7,3.2,2.7,0.5,4.7,2,3.1,1.7,3.5,3
2.5,1.5,2.5,2.5,1,3.1,2.1,2.3,1.6,3.7,2.6
2.4,2.8,2.6,2.6,4,1.7,2.9,2.4,2.7,2.3,2.2
4.3,3,5.7,4.7,1,5.2,3.6,5.1,2.9,4.5,4
8.4,8.6,8.4,8.9,8.5,8.4,8.4,8,8.3,9.2,8.6
392,381,403,401,371,412,371,382,367,443,402
58.9%,44.3%,56.4%,57.2%,44.4%,55.4%,59.8%,51.2%,54%,52.3%,53.2%
21.9,20.8,24,22.3,24.8,22.1,23.4,20.3,19.7,24,24.1
469,438,558,502,443,531,492,473,407,611,526
0.98,1.15,1.13,0.96,0.96,1.21,1.05,1.2,1.17,1.01,1.2
0.33,0.54,0.38,0.29,0.42,0.42,0.34,0.46,0.4,0.35,0.42
0.22,0.16,0.23,0.19,0.14,0.22,0.23,0.2,0.24,0.16,0.24
0.17,0.29,0.2,0.14,0.16,0.18,0.22,0.26,0.19,0.16,0.25
-242,-185,102,97,-56,385,-108,-137,-337,416,69
-8,-3,1,4,0,10,-1,-1,-10,10,0
-222,-138,139,137,-342,213,-119,4,-199,101,124
9.3%,18.2%,19.5%,11.6%,0%,23.1%,12.2%,6.8%,14.6%,12.5%,21.4%
11.6%,13.6%,14.6%,11.6%,50%,12.8%,12.2%,6.8%,12.2%,10%,7.1%
0,0,0,0,0,0,0,0,0,0,0
16,13,13,11,1,14,5,13,5,24,10
