Team,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,FOS%,DRAPG,DRA%,VGPG,HER%,ATAKHAN%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Afreeca Freecs,S6,KR,102,47.1%,0.92,1789,-2,36:57,10.9,11.8,6.1,6.5,53.9,50.0,-,1.89,46.1,-,61.5,-,0.61,0.1,188,-,0.70,47.4,30.7,1963,3.3,0.70,1.48
CJ Entus,S6,KR,97,34.0%,0.81,1708,-132,40:03,9.5,11.7,5.5,7.8,39.2,48.5,-,1.82,40.5,-,38.3,-,0.40,-0.2,-752,-,0.76,39.9,30.0,1830,3.6,0.71,1.54
ESC Ever,S6,KR,58,43.1%,0.87,1735,-77,40:17,9.1,10.5,5.7,6.8,56.9,62.1,-,2.00,46.5,-,31.0,-,0.52,-0.1,-188,-,0.72,40.5,30.9,1813,3.5,0.80,1.57
Jin Air Green Wings,S6,KR,98,48.0%,1.01,1730,-59,41:45,9.7,9.6,6.1,6.9,45.9,53.1,-,2.21,47.8,-,47.2,-,0.55,0.0,10,-,0.77,44.0,30.5,1839,3.7,0.87,1.66
Kongdoo Monster,S6,KR,53,26.4%,0.65,1682,-184,39:28,8.2,12.7,4.7,7.7,43.4,50.9,-,2.15,47.0,-,35.6,-,0.49,-0.1,-611,-,0.51,33.0,30.3,1819,3.6,0.73,1.55
KT Rolster,S6,KR,108,63.0%,1.27,1821,78,38:32,13.4,10.5,6.9,5.4,57.4,55.6,-,2.20,55.1,-,62.2,-,0.47,0.1,305,-,0.69,53.2,30.7,2058,3.6,0.82,1.67
Longzhu Gaming,S6,KR,84,44.0%,0.98,1778,12,39:38,9.8,9.9,6.6,6.5,57.1,45.2,-,2.08,49.5,-,54.2,-,0.50,0.2,465,-,0.81,52.9,30.9,1962,3.7,0.83,1.62
MVP,S6,KR,45,46.7%,0.88,1753,-50,36:33,10.8,12.3,5.9,6.6,48.9,35.6,-,2.04,48.6,-,36.5,-,0.64,-0.3,-763,-,0.91,50.4,29.5,2053,3.5,0.70,1.36
ROX Tigers,S6,KR,90,75.6%,1.46,1903,225,34:44,14.7,10.0,8.0,4.2,64.4,50.0,-,1.93,56.6,-,60.8,-,0.47,0.2,703,-,0.84,73.5,30.5,2196,3.6,0.67,1.40
Samsung Galaxy,S6,KR,98,55.1%,0.97,1803,26,38:04,10.4,10.7,6.5,6.0,45.9,39.8,-,1.96,48.8,-,44.9,-,0.48,0.1,99,-,0.65,52.7,31.9,1991,3.8,0.80,1.64
SBENU Sonicboom,S6,KR,49,20.4%,0.56,1646,-238,39:28,6.9,12.4,4.2,8.5,40.8,36.7,-,1.96,43.1,-,37.5,-,0.53,-0.4,-754,-,0.55,35.0,30.3,1681,3.9,0.89,1.78
SK Telecom T1,S6,KR,98,66.3%,1.27,1866,151,37:07,12.3,9.7,7.5,5.1,41.8,62.2,-,2.43,63.5,-,59.3,-,0.69,0.0,184,-,0.85,62.3,31.9,2188,3.6,0.66,1.60
Afreeca Freecs,S7,KR,108,52.8%,1.04,1814,37,36:32,11.0,10.5,6.5,6.0,48.1,48.1,-,2.07,56.2,-,55.2,-,0.46,-0.1,-147,-,0.74,49.9,32.9,1885,4.0,1.02,1.55
bbq Olivers,S7,KR,99,35.4%,0.90,1727,-114,36:11,9.1,10.0,5.0,7.3,40.4,41.4,-,1.71,46.2,-,37.5,-,0.40,-0.4,-404,-,0.57,33.4,32.5,1741,3.8,1.03,1.31
CJ Entus,S7,KR,9,33.3%,0.80,1667,-270,37:53,8.1,10.1,3.9,8.1,44.4,44.4,-,0.89,28.7,-,14.3,-,0.11,0.2,-828,-,0.67,37.5,31.3,1632,3.6,1.05,1.75
Ever8 Winners,S7,KR,47,27.7%,0.74,1698,-176,35:32,8.5,11.5,4.5,7.9,44.7,36.2,-,1.11,33.0,-,56.1,-,0.17,-0.9,-1279,-,0.64,35.9,32.5,1593,3.8,1.21,1.36
Jin Air Green Wings,S7,KR,86,40.7%,0.87,1757,-53,39:25,10.5,12.1,5.8,7.0,55.8,48.8,-,1.66,40.8,-,65.2,-,0.37,0.2,161,-,0.85,47.0,32.4,1868,3.9,1.09,1.44
Kongdoo Monster,S7,KR,52,32.7%,0.70,1712,-149,38:04,8.2,11.7,4.7,7.6,36.5,40.4,-,1.17,32.3,-,6.7,-,0.33,-0.4,-918,-,0.79,46.0,32.3,1677,3.9,0.97,1.51
KT Rolster,S7,KR,108,63.0%,1.30,1857,126,36:31,13.2,10.2,7.8,4.8,59.3,72.2,-,1.98,56.7,-,71.4,-,0.52,0.7,1337,-,0.87,59.8,32.4,2054,4.0,1.11,1.50
Longzhu Gaming,S7,KR,93,58.1%,1.14,1832,95,36:23,12.4,10.8,6.9,5.1,54.8,57.0,-,1.92,55.7,-,54.2,-,0.53,0.3,498,-,0.87,58.2,32.6,2001,3.8,0.87,1.35
MVP,S7,KR,97,41.2%,0.81,1742,-106,36:48,10.5,13.0,5.2,7.3,45.4,44.3,-,2.07,50.9,-,40.4,-,0.61,-0.2,-555,-,0.94,46.9,31.6,1872,3.5,0.86,1.43
ROX Tigers,S7,KR,91,41.8%,0.84,1760,-96,36:17,10.8,12.7,5.7,7.3,42.9,38.5,-,1.43,38.5,-,36.5,-,0.39,-0.2,-734,-,0.75,40.2,31.9,1821,3.9,1.04,1.45
Samsung Galaxy,S7,KR,100,65.0%,1.14,1847,100,36:13,10.6,9.3,7.5,5.2,57.0,54.0,-,2.05,58.3,-,41.2,-,0.51,0.2,471,-,0.87,58.7,33.6,1912,3.6,1.04,1.52
SK Telecom T1,S7,KR,100,70.0%,1.35,1884,168,35:31,12.9,9.5,7.4,5.0,50.0,49.0,-,2.17,62.7,-,60.3,-,0.56,0.1,427,-,0.94,64.0,33.6,2007,3.4,0.80,1.47
Afreeca Freecs,S8,KR,106,61.3%,1.26,1855,104,37:00,9.6,7.6,6.9,4.9,54.7,52.8,-,2.04,53.5,-,56.0,-,0.49,0.1,355,-,1.02,59.5,36.9,1685,4.7,1.54,2.04
bbq Olivers,S8,KR,92,29.3%,0.81,1706,-165,37:28,7.7,9.5,4.5,7.8,43.5,37.0,-,1.38,33.2,-,55.8,-,0.30,-0.3,-544,-,0.74,36.9,35.0,1563,4.2,1.39,1.66
DAMWON Gaming,S8,KR,6,83.3%,1.49,1866,178,37:31,14.7,9.8,7.8,3.8,33.3,33.3,-,2.00,46.4,-,20.0,-,0.83,-0.2,-493,-,0.67,58.3,34.6,1954,3.5,1.49,1.65
Ever8 Winners,S8,KR,6,33.3%,0.67,1640,-259,39:15,7.5,11.2,3.3,8.7,50.0,16.7,-,1.33,36.4,-,100.0,-,0.50,-0.5,-2183,-,0.50,22.2,35.2,1388,4.4,1.54,1.55
Gen.G eSports,S8,KR,59,62.7%,1.07,1805,94,34:40,8.8,8.2,6.7,4.7,44.1,55.9,-,2.37,65.1,-,50.0,-,0.73,0.2,693,-,0.69,57.6,35.6,1668,3.4,1.49,1.67
